來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
資策會,1,3,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1,,-,-,2,,,,,,,,
資策會,123,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=123,,-,-,1,,,,,,,,
資策會,1234,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1234,,-,-,1,,,,,,,,
工研院,A012000764,水務連控-院區汙廢水PLC控制盤修改,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=17862416-301D-49E3-8876-C8C2D7DBE1F5,,115/08/07,115/08/17,P,,,,,,,,
工研院,A302000954,亞灣方案年度成果展示規劃與執行服務,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=E5E8061C-EC8D-4BA4-BAF0-FF2B829506B5,,115/08/05,115/08/17,U,,,,,,,,
工研院,A522001331,衛星無線通道模擬平台建置委託,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=C928D6CD-B547-429D-A437-C329C78F4B43,,115/08/05,115/08/17,P,,,,,,,,
工研院,A522001450,智慧網路管理驗證測試平台環境建置委託,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=60A7F3B4-6CA7-4BFE-A662-95CF601A1A9F,,115/08/07,115/08/18,P,,,,,,,,
工研院,A532004234,車輛國際論壇暨展覽活動(1個案),https://vendor.itri.org.tw/broadBdetail2.aspx?seq=DA5F1C99-3526-47A3-A293-121FEDE223A3,,115/08/05,115/08/17,P,,,,,,,,
工研院,A552003792,複合式海域波浪發電機組開發與試驗作業,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=460FDE2A-0B03-4E2C-A15A-7106DE308B91,,115/08/07,115/08/13,P,,,,,,,,
工研院,A552003826,115年節約能源表揚大會活動規劃與執行,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=F3990CEF-1A7B-421A-A908-BFD6F0BEBE36,,115/08/07,115/08/18,P,,,,,,,,
工研院,A552003854,中興院區62館1樓廁所男女廁所及茶水間整修案（詳採購規範書）,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=B673FB8D-EA5B-4540-9488-6BFBDFB65748,,115/08/05,115/08/13,P,,,,,,,,
工研院,A712000364,水面無人載具設計製造委託服務案,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=04720F7B-F49B-4889-9F33-5FFC41909CAF,,115/08/07,115/08/18,P,,,,,,,,
